player_name,pos,team,projection
Justin Houston,DE,IND,118.1
Cole Beasley,WR,BUF,117.8
Shaq Thompson,ILB,CAR,117.8
Curtis Samuel,WR,CAR,117.7
Harrison Smith,SS,MIN,117.4
Calais Campbell Q,DE,JAX,117.2
Chris Boswell,K,PIT,117
Malcolm Jenkins,SS,PHI,116.9
Austin Hooper,TE,ATL,116.7
Marlon Humphrey,CB,BAL,116
Jayon Brown O,ILB,TEN,115.1
Todd Davis,ILB,DEN,115
Sam Hubbard,DE,CIN,114.65
Tevin Coleman Q,RB,SF,114.4
Shawn Williams,SS,CIN,114.3
Kyle Van Noy,LB,NE,114.25
Arik Armstead,DE,SF,113.7
Antoine Bethea,FS,NYG,113.5
Nick Vigil,OLB,CIN,113.5
Jason Myers,K,SEA,113
Grady Jarrett,DT,ATL,112.9
Tracy Walker,FS,DET,112.5
Whitney Mercilus,OLB,HOU,112.45
Mike Williams,WR,LAC,112.3
James Conner,RB,PIT,111.5
Damien Williams,RB,KC,111.1
Devon Kennard,OLB,DET,110.4
Robby Anderson,WR,NYJ,110.3
Jason Sanders,K,MIA,110.1
Robbie Gould,K,SF,110
Duke Johnson,RB,HOU,110
Dont'a Hightower,LB,NE,109.75
Chris Conley,WR,JAX,109.5
Minkah Fitzpatrick,FS,PIT,109.5
Robert Quinn,OLB,DAL,109.1
Taylor Rapp IR,SS,LAR,109
Jessie Bates III,FS,CIN,109
Mason Rudolph,QB,PIT,108.8
Justin Simmons,FS,DEN,108.5
Trey Flowers IR,DE,DET,108.1
Mason Crosby,K,GB,108
Jamaal Williams,RB,GB,107.3
Randy Bullock,K,CIN,107
Austin Seibert,K,CLE,107
Brandon Graham,DE,PHI,106.85
Cole Holcomb,ILB,WAS,106.6
Josh Allen O,DE,JAX,106.55
Ka'imi Fairbairn,K,HOU,106
Tre Flowers,CB,SEA,105.6
David Johnson IR,RB,ARI,105.5
Brett Maher,K,DAL,104
Tyrann Mathieu,SS,KC,103.9
Case Keenum,QB,WAS,103.48
Matt Ioannidis IR,DT,WAS,103.3
Golden Tate,WR,NYG,103.2
Joe Haden Q,CB,PIT,103
Jake Elliott,K,PHI,103
Alexander Johnson,ILB,DEN,102.85
Larry Fitzgerald,WR,ARI,102.4
Nathan Gerry IR,OLB,PHI,102.2
Breshad Perriman,WR,TB,102.1
Tahir Whitehead,OLB,LV,102
Tavon Wilson,SS,DET,101.7
Stephon Gilmore,CB,NE,101.5
Benardrick McKinney IR,ILB,HOU,101.45
Jordan Howard,RB,PHI,101.4
Frank Clark,DE,KC,101.1
Tyrell Williams IR,WR,LV,101.1
Roquan Smith,ILB,CHI,101.1
Kevin King,CB,GB,100.7
Peyton Barber,RB,TB,100.5
Marquise Brown,WR,BAL,100.4
Christian Kirk,WR,ARI,100.2
Dustin Hopkins Q,K,WAS,100
Eddy Piñeiro IR,K,CHI,100
Randall Cobb O,WR,DAL,99.9
Erik Harris,SS,LV,99.9
Royce Freeman,RB,DEN,99.2
Kevin Byard,FS,TEN,99.1
Thomas Davis Sr.,OLB,LAC,99.05
Kyle Fuller,CB,CHI,99
Adrian Amos,FS,GB,98.9
Jonathan Allen,DT,WAS,98.65
Tre'Davious White,CB,BUF,98.4
Diontae Johnson,WR,PIT,98.1
Stephen Hauschka,K,BUF,98
Marcus Peters,CB,BAL,97.5
Nick Kwiatkoski,ILB,CHI,97.4
Anthony Barr IR,OLB,MIN,97.3
Melvin Ingram III,DE,LAC,97.05
Terrell Edmunds,SS,PIT,96.5
Mark Barron IR,ILB,PIT,96.1
Jon Bostic,ILB,WAS,96
Hunter Henry,TE,LAC,95.2
Eric Weddle,FS,LAR,95
Jabrill Peppers,SS,NYG,94.75
Chris Jones,NT,KC,94.5
Zach Pascal,WR,IND,94.3
Everson Griffen,DE,MIN,94.1
Ha Ha Clinton-Dix,SS,CHI,93.5
Mike Hilton,CB,PIT,93
Jadeveon Clowney IR,DE,SEA,92.9
DeMarcus Lawrence,DE,DAL,92.4
Dre Greenlaw,OLB,SF,92.4
Neville Hewitt,ILB,NYJ,92.3
A.J. Klein,OLB,NO,92.2
Von Miller IR,OLB,DEN,91.75
Tyler Higbee,TE,LAR,91.4
Daniel Carlson,K,LV,91
Montez Sweat,DE,WAS,90.8
Dede Westbrook IR,WR,JAX,90.7
LeSean McCoy,RB,KC,90.6
Anthony Hitchens,LB,KC,90.6
Teddy Bridgewater Q,QB,NO,90.46
Vic Beasley Jr.,OLB,ATL,90.4
Levi Wallace,CB,BUF,90
James Burgess,ILB,NYJ,89.95
Terrell Suggs,DE,KC,89.75
James Washington,WR,PIT,89.5
Mychal Kendricks,OLB,SEA,89.4
Mack Wilson,OLB,CLE,89.3
Kareem Jackson,SS,DEN,89
Ndamukong Suh,NT,TB,88.7
Jarrod Wilson,FS,JAX,88.5
Ricardo Allen,FS,ATL,88.5
Eric Rowe,SS,MIA,88.5
Jordan Phillips IR,NT,BUF,88.15
Carlton Davis,CB,TB,88
Mecole Hardman,WR,KC,87.5
Anthony Harris,FS,MIN,87.5
Kenny Vaccaro Q,SS,TEN,87.1
Bruce Irvin IR,OLB,CAR,87.05
Byron Murphy Jr.,CB,ARI,87
David Mayo,OLB,NYG,86.85
Dallas Goedert,TE,PHI,86.7
Janoris Jenkins,CB,NO,86.5
Sammy Watkins Q,WR,KC,86.5
Chuck Clark,SS,BAL,86.3
Sean Lee,OLB,DAL,86.2
Sam Ficken,K,NYJ,86
Younghoe Koo,K,ATL,86
Xavier Woods,FS,DAL,86
Chase McLaughlin,K,IND,86
DeAndre Washington,RB,LV,85.9
Myles Garrett,DE,CLE,85.8
Sheldon Richardson,DT,CLE,85.7
Gus Edwards,RB,BAL,85.6
Chidobe Awuzie,CB,DAL,85.5
Ronnie Harrison Jr. Q,SS,JAX,85.1
Marcus Mariota,QB,TEN,85.02
Jaire Alexander,CB,GB,85
Will Fuller V,WR,HOU,85
Mike Gesicki,TE,MIA,85
Charvarius Ward,CB,KC,85
Tarik Cohen IR,RB,CHI,84.9
Joe Flacco,QB,DEN,84.88
Sterling Shepard,WR,NYG,84.8
Jourdan Lewis,CB,DAL,84.8
Devin McCourty,SS,NE,84.5
Hunter Renfrow,WR,LV,84.5
Shaq Lawson,DE,BUF,84.45
Adam Thielen,WR,MIN,84.4
Alec Ogletree,ILB,NYG,84.4
Bradley McDougald IR,SS,SEA,84.35
Matt Breida,RB,SF,84.3
Ryan Anderson Q,OLB,WAS,84.2
Justin Reid,SS,HOU,84
Kenny Clark,NT,GB,83.65
Rodney McLeod,FS,PHI,83.5
Micah Hyde,FS,BUF,83.5
Derek Barnett,DE,PHI,83.35
James Bradberry,CB,CAR,83.3
Taysom Hill,QB,NO,83.2
Kenny Moore II,CB,IND,83
Clay Matthews,OLB,LAR,82.85
