"player_name","pos","projection","team"
"TJ Hockenson","TE","140.59","DET"
"Cole Beasley","WR","138.64","BUF"
"Harrison Butker","K","138.61","KC"
"Latavius Murray","RB","137.15","NO"
"Steelers D/ST","D/ST","135.91","PIT"
"Bills D/ST","D/ST","135.35","BUF"
"Nyheim Hines","RB","135.19","IND"
"Chris Conley","WR","135.04","JAX"
"Randall Cobb","WR","134.94","HOU"
"Mike Gesicki","TE","134.93","MIA"
"Justin Jackson","RB","134.61","LAC"
"Kai Forbath","K","134.5","DAL"
"Mahamed Sanu Sr.","WR","131.34","NE"
"Matt Prater","K","131.03","DET"
"Zach Pascal","WR","129.9","IND"
"Dare Ogunbowale","RB","129.65","TB"
"Sony Michel","RB","129.58","RB"
"Chris Boswell","K","128.35","KC"
"Rashaad Penny","RB","128.35","RB"
"Robbie Gould","K","128.3","KC"
"49ers D/ST","D/ST","127.72","SF"
"Kelvin Harmon","WR","126.25","WAS"
"Dallas Goedert","TE","126.1","PHI"
"Noah Fant","TE","125.8","DEN"
"Tevin Coleman","RB","125.64","SF"
"Matt Gay","K","125.15","K"
"DaeSean Hamilton","WR","125.01","DEN"
"Malcolm Brown","WR","124.55","LAR"
"Jaylen Samuels","RB","124.25","PIT"
"Allen Lazard","WR","123.85","GB"
"Blake Jarwin","TE","123.46","DAL"
"Corey Davis","WR","123.06","TEN"
"Jake Elliot","K","122.43","PHI"
"Zane Gonzalez","K","122.42","ARI"
"Patriots D/ST","D/ST","122.26","NE"
"Ravens D/ST","D/ST","120.7","BAL"
"Chris Herndon","TE","120.37","NYJ"
"Hayden Hurst","TE","119.2","ATL"
"Stephen Hauschka","K","119.03","BUF"
"Adam Humphries","WR","118.34","TEN"
"Austin Seibert","K","118.0","CLE"
"Jason Myers","K","117.8","SEA"
"Younghoe Koo","K","117.56","ATL"
"Eric Ebron","TE","117.47","PIT"
"Aldrick Rosas","K","116.61","NYG"
"Joey Slye","K","116.43","CAR"
"Brandon McManus","K","115.79","DEN"
"Colts D/St","D/ST","115.74","IND"
"Chase McLaughlin","K","115.58","IND"
"Dan Bailey","K","115.39","MIN"
"Ka'imi Fairbairn","K","115.28","HOU"
